name,chem_formula,SMILES,BE(eV),metal_ion
"N,N-Dimethylformamide (DMF)",C3H7NO,CN(C)C=O,2.65,Zn
Formamide,CH3NO,NC=O,3.84,Zn
"N,N-Dimethylacetamide (DMA)",C4H9NO,CC(=O)N(C)C,2.46,Zn
N-Methylacetamide (NMA),C3H7NO,CNC(C)=O,3.04,Zn
Acetamide,C2H5NO,CC(N)=O,3.72,Zn
Thioacetamide,2H5NS,CC(N)=S,2.29,Zn
Isobutyramide,C4H9NO,CC(C)C(N)=O,3.67,Zn
Butyramide,C4H9NO,CCCC(N)=O,3.63,Zn
Urea,CH4N2O,NC(N)=O,3.22,Zn
Propionamide,C3H7NO,CCC(N)=O,3.21,Zn
Dimethylcarbamyl fluoride,C3H6FNO,CN(C)C(=O)F,3.1,Zn
2-Fluoro-N-methylacetamide,C3H6FNO,CNC(=O)CF,3.14,Zn
N-Fluoromethyl-N-methylformamide,C3H6FNO,CN(C)C(=O)N(C)F,3.18,Zn
N-Ethylformamide,C3H7NO,CCNC=O,3.08,Zn
Cyanoformamide,C2H2N2O,N#CC(N)=O,4.49,Zn
Formylhydrazine,CH4N2O,NNC=O,1.91,Zn
n-Cyanoformamide,C2H2N2O,N#CNC=O,4.2,Zn
Methyl carbamate,C2H5NO2,COC(N)=O,3.7,Zn
Carbamic acid fluoride,CH2FNO,NC(=O)O,4.47,Zn
N-Methylformamide,C2H5NO,CNC=O,3.11,Zn
3-Fluoropropanamide,C3H6FNO,NC(=O)CCF,3.42,Zn
"2-Fluoro-N,N-dimethylacetamide",C4H8FNO,NCCC(F)C=O,2.65,Zn
Methylaminoformyl chloride,C2H4ClNO,CNC(=O)Cl,3.65,Zn
Carbamoyl chloride,CH2ClNO,NC(=O)Cl,4.39,Zn
Fluoroacetamide,C2H4FNO,NC(=O)CF,3.96,Zn
N-(chloromethyl)carboxamide,C2H4ClNO,O=CNCCl,3.65,Zn
N-Chloroacetamide,C2H4ClNO,CC(=O)NCl,3.39,Zn
2-Chloroacetamide,C2H4ClNO,NC(=O)CCl,3.61,Zn
N-Methoxyformamide,C2H5NO2,CONC=O,2.63,Zn
Trifluoroacetamide,C2H2F3NO,NC(=O)C(F)(F)F,4.4,Zn
Carbamic acid,CH3NO2,NC(=O)O,3.97,Zn
"N,N-Diethylacetamide (DEA)",C6H13NO,CCN(CC)C(C)=O,2.45,Zn
"N,N-Dimethylpropionamide",C5H11NO,CCC(=O)N(C)C,2.45,Zn
"N,N-Dimethylbenzamide",C9H11NO,CN(C)C(=O)c1ccccc1,2.26,Zn
"N,N-Dimethylbutyramide",C6H13NO,CCCC(=O)N(C)C,2.38,Zn
2-Methoxyacetamide,C3H7NO2,COCC(N)=O,3.52,Zn
"2,2,2-Trifluoro-N,N-dimethylacetamide",C4H6F3NO,CN(C)C(=O)C(F)(F)F,3.21,Zn
Acetonitrile (AN),C2H3N,CC#N,5.24,Zn
Propionitrile,C3H5N,CCC#N,4.86,Zn
Butyronitrile,C4H7N,CCCC#N,5.62,Zn
Valeronitrile,C5H9N,CCCCC#N,4.29,Zn
Phenylacetonitrile,C8H7N,N#CCc1ccccc1,2.9,Zn
2-Methoxypropanenitrile,C4H7NO,COC(C)C#N,3.65,Zn
3-Oxopropanenitrile,C3H3NO,N#CCC=O,3.99,Zn
3-Oxobutanenitrile,C4H5NO,CC(=O)CC#N,3.74,Zn
Ethyl cyanoacetate (ECA),C5H7NO2,CCOC(=O)CC#N,4.28,Zn
Fluoroacetonitrile,C2H2FN,N#CCF,5.5,Zn
Aminoacetonitrile,C2H4N2,N#CCN,2.67,Zn
Malononitrile,C3H2N2,N#CCC#N,5.47,Zn
Methoxyacetonitrile,C3H5NO,COCC#N,3.7,Zn
3-Methoxypropionitrile,C4H7NO,COCCC#N,3.45,Zn
Glutaronitrile (GN),C5H6N2,N#CCCCC#N,4.62,Zn
Adiponitrile (ADN),C6H8N2,N#CCCCCC#N,4.64,Zn
Heptanedinitrile,C7H10N2,N#CCCCCCC#N,7.22,Zn
Octanedinitrile,C8H12N2,N#CCCCCCCC#N,7.35,Zn
Azelanitrile,C9H14N2,N#CCCCCCCCC#N,7.05,Zn
Sebaconitrile,C10H16N2,N#CCCCCCCCCC#N,6.47,Zn
Glycolonitrile,C2H3NO,N#CCO,4.48,Zn
Chloroacetonitrile,C2H2ClN,N#CCCl,5.03,Zn
"3,3,3-Trifluoropropionitrile",C3H2F3N,N#CCC(F)(F)F,5.83,Zn
Cyanoacetic acid,C3H3NO2,N#CCC(=O)O,4.66,Zn
2-Methylglutaronitrile,C6H8N2,CC(C#N)CCC#N,4.7,Zn
Trimethylacetonitrile,C5H9N,CC(C)(C)C#N,4.3,Zn
